Model,Config,R2_P1,RMSE_P1,MAE_P1,R2_P3,RMSE_P3,MAE_P3,R2_P2,RMSE_P2,MAE_P2,Delta_R2_P3_vs_P1
MLP,A,-0.8495300465718902,0.3142717836793267,0.2457337362580001,0.3181861297488401,0.19081284675116134,0.16064163812994955,0.3739461660104773,0.1828439246703988,0.138305254176259,1.1677161763207304
MLP,B,0.567821774402973,0.1519169161914065,0.1329704053401947,0.8568676132081756,0.08742661257918102,0.062129911452531814,0.8605030444387558,0.0863091937392883,0.0636987866461276,0.2890458388052026
MLP,C,-1.1305103725786425,0.3373001399437481,0.2663780594393611,0.8149153590142274,0.09941682409572959,0.08820644617080689,0.3693457183633185,0.1835144934158619,0.1525351066440343,1.94542573159287
PLS,A,-0.6041798708632515,0.292685512596658,0.2204862570730603,0.3495965939236977,0.18636574869830727,0.150835031562953,,,,0.9537764647869492
PLS,B,0.8983549049185141,0.0736746206128435,0.052168175249266,0.8983549049185141,0.07367462061284354,0.05216817524926609,,,,0.0
PLS,C,0.6248362002842549,0.1415419445557411,0.1089582685283958,0.7436651050959188,0.11699803298676793,0.08913069058606234,,,,0.11882890481166386
RF,A,0.0371827975513237,0.2267496448243343,0.2012418039876789,0.4283953559355109,0.17471193318628175,0.14166024404761896,0.2196545522035606,0.2041353160474141,0.1765669999999997,0.3912125583841872
RF,B,0.3810455118391999,0.1818042590872801,0.1328036628367547,0.7482647016597681,0.11594359260721018,0.08224999999999981,0.7482647016597695,0.1159435926072098,0.08225,0.3672191898205682
RF,C,0.238927010008539,0.2015987567881657,0.1758941043123544,0.49683167918203774,0.16391977153473586,0.13337,0.4559573978015391,0.1704477016565491,0.14214,0.25790466917349875
Ridge,A,-0.3077849520496944,0.2642669563611873,0.2035990652194323,0.11603256625674063,0.21726652970332036,0.18860869783888407,,,,0.42381751830643505
Ridge,B,0.9042977737092368,0.0714884227420989,0.0522844827207182,0.9042977737092367,0.07148842274209895,0.052284482720718284,,,,-1.1102230246251565e-16
Ridge,C,-0.1746932196021335,0.2504591635775651,0.1928534414703103,0.7983981755276209,0.10375807934156024,0.07789972498639179,,,,0.9730913951297544
