n_oes_features,removed_feature,remaining_features,R2,RMSE,MAE,type,n_total_features,features
13,,"I_309_OH,I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_777_309,ratio_656_486",0.7983981755276209,0.10375807934156024,0.07789972498639179,backward_elimination,,
12,I_309_OH,"I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_777_309,ratio_656_486",0.8034325520774135,0.10245437172963405,0.07694659295138906,backward_elimination,,
11,ratio_777_309,"I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_656_486",0.7680212638460719,0.11130092762127326,0.08437631323586278,backward_elimination,,
10,band_CO_Hb_460_500,"I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_309_656,ratio_656_486",0.8219469387356446,0.09751005858155269,0.07245254215630298,backward_elimination,,
9,I_777_O,"I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_309_656,ratio_656_486",0.8558509490918872,0.08773655718994294,0.06500084588635638,backward_elimination,,
8,I_406_CO2p,"I_656_Ha,I_486_Hb,I_337_N2,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_309_656,ratio_656_486",0.8523949177582516,0.08878208713919493,0.06658110965634714,backward_elimination,,
7,ratio_309_656,"I_656_Ha,I_486_Hb,I_337_N2,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_656_486",0.8655971304535148,0.08471863807127597,0.0653925113281014,backward_elimination,,
6,I_656_Ha,"I_486_Hb,I_337_N2,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_656_486",0.8715159886518488,0.082832208047369,0.06344312276546442,backward_elimination,,
5,band_OH_306_312,"I_486_Hb,I_337_N2,I_516_C2,band_CO2p_398_412,ratio_656_486",0.8895470403311808,0.07680038085370809,0.06043956720937723,backward_elimination,,
4,I_337_N2,"I_486_Hb,I_516_C2,band_CO2p_398_412,ratio_656_486",0.8987943810067199,0.07351517707154183,0.057444707626390826,backward_elimination,,
3,ratio_656_486,"I_486_Hb,I_516_C2,band_CO2p_398_412",0.8868452914925784,0.07773399892585496,0.06001226139045583,backward_elimination,,
13,All OES (13),,0.7983981755276209,0.10375807934156024,0.07789972498639179,category,17.0,"I_309_OH,I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_777_309,ratio_656_486"
7,Single-wavelength (7),,0.8232480679225618,0.09715312617135528,0.07580916570537125,category,11.0,"I_309_OH,I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2"
3,Band integrals (3),,0.9052822242616596,0.07111978587005949,0.053702255884539196,category,7.0,"band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500"
3,Ratios (3),,0.9063196179778062,0.07072924487344091,0.04762699989866434,category,7.0,"ratio_309_656,ratio_777_309,ratio_656_486"
