n_oes_features,removed_feature,remaining_features,R2,RMSE,MAE
13,,"I_309_OH,I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_777_309,ratio_656_486",0.8149153590142274,0.09941682409572959,0.08820644617080689
12,I_309_OH,"I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_777_309,ratio_656_486",0.6173575600473824,0.14294575522172642,0.12149210757017137
11,ratio_777_309,"I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_656_486",0.8156876033787802,0.09920920467360757,0.0776853420138359
10,band_CO_Hb_460_500,"I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_309_656,ratio_656_486",0.7652176814883507,0.11197147221877805,0.08883008995652197
9,I_777_O,"I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_309_656,ratio_656_486",0.7575031630450485,0.11379619321502527,0.08778371214866638
8,I_406_CO2p,"I_656_Ha,I_486_Hb,I_337_N2,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_309_656,ratio_656_486",0.7537172739538919,0.11468105272270664,0.09295942306518554
7,ratio_309_656,"I_656_Ha,I_486_Hb,I_337_N2,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_656_486",0.6619030636128391,0.13436783283215806,0.11529836308956146
6,I_656_Ha,"I_486_Hb,I_337_N2,I_516_C2,band_OH_306_312,band_CO2p_398_412,ratio_656_486",0.8250760306439773,0.09664944328645132,0.06922911304235457
5,band_OH_306_312,"I_486_Hb,I_337_N2,I_516_C2,band_CO2p_398_412,ratio_656_486",0.8476731850515716,0.09019093216649343,0.07711242279410362
4,I_337_N2,"I_486_Hb,I_516_C2,band_CO2p_398_412,ratio_656_486",0.7030849304776137,0.12591886922762985,0.10099301336705684
3,ratio_656_486,"I_486_Hb,I_516_C2,band_CO2p_398_412",0.8104389051863569,0.10061188808557045,0.0759600236415863
