feature,ridge_importance,ridge_rank,pls_vip,pls_rank,rf_perm_importance,rf_rank,mlp_shap,mlp_rank,mean_rank,consensus_rank
flow_rate_sccm,0.22031816649697203,2,0.09209353777333093,1,0.11610848298758153,3,0.23903578860717914,1,1.75,1
band_CO2p_398_412,0.06303616555107269,4,0.06830080454714883,3,0.2612479749002287,1,0.029838212207569843,11,4.75,2
pulse_width_ns,0.23600968697741181,1,0.0734926343783566,2,0.007467716337274674,16,0.11798349018044378,2,5.25,3
I_486_Hb,0.05001799509000634,6,0.05476030721565801,11,0.10929210759411098,4,0.10684132571010554,3,6.0,4
band_CO_Hb_460_500,0.010481759891401793,14,0.06285230343269625,4,0.15869496716897297,2,0.09062748937060537,4,6.0,4
frequency_hz,0.17422108801498118,3,0.059526477849687065,6,0.0016719496504626894,17,0.0634991329218455,6,8.0,6
rise_time_ns,0.06058666377754466,5,0.05315090789570296,14,0.00950241437905811,13,0.076975993913655,5,9.25,7
ratio_309_656,0.011193321796269886,13,0.055398609296794694,10,0.04658054196306024,7,0.05838129639480227,8,9.5,8
I_406_CO2p,0.01047793067775058,15,0.06123069807787293,5,0.03952590821941305,9,0.03814300818976056,10,9.75,9
ratio_656_486,0.036323004689170796,7,0.053384234156058384,13,0.05216957257280601,6,0.009035021754766307,14,10.0,10
I_337_N2,0.03313917124334913,8,0.05472963293620385,12,0.008069896559325638,14,0.05926934276391459,7,10.25,11
I_656_Ha,0.017256443984821807,10,0.05260209185862459,15,0.06087990475231148,5,0.014319160241886139,13,10.75,12
band_OH_306_312,0.014915846110156415,11,0.05890943466764256,7,0.032696999952630666,10,0.008309455079785102,15,10.75,12
I_516_C2,0.032790762033793386,9,0.048736106974742816,16,0.013675409840680153,12,0.05681199259688401,9,11.5,14
I_777_O,0.014078784160581122,12,0.05858097088065655,8,0.030829989083851376,11,0.007230324200322108,16,11.75,15
I_309_OH,0.00531417991581956,17,0.05791961927762631,9,0.043570360669494074,8,0.005484445475172302,17,12.75,16
ratio_777_309,0.009839029588896786,16,0.03433162878119672,17,0.008015803368737662,15,0.018214520391302433,12,15.0,17
