feature,model,mean_importance,std_importance,cv,is_stable
I_309_OH,Ridge,0.0025221141029179786,0.0035820874084732403,1.420271749136535,False
I_777_O,Ridge,0.006681802393937911,0.003104473458690717,0.46461617325098714,True
I_656_Ha,Ridge,0.00818992232663637,0.003936060501659707,0.48059802580279914,True
I_486_Hb,Ridge,0.023738581082031737,0.008998256323326397,0.3790561993672561,True
I_337_N2,Ridge,0.015727877579578484,0.00703951392864028,0.4475819380601348,True
I_406_CO2p,Ridge,0.004972834407258891,0.003471403845074519,0.6980734850143571,True
I_516_C2,Ridge,0.015562522285831057,0.0074713973738595235,0.4800891035935658,True
band_OH_306_312,Ridge,0.007079072674862202,0.002999650726447671,0.4237349811507707,True
band_CO2p_398_412,Ridge,0.029917015353010317,0.005484588050331684,0.1833267117596947,True
band_CO_Hb_460_500,Ridge,0.004974651755166903,0.004209341412532444,0.8461580065700937,True
ratio_309_656,Ridge,0.005312359612972885,0.003579676450994228,0.6738392563358453,True
ratio_777_309,Ridge,0.004669611431730541,0.0028173306742004705,0.6033330000557194,True
ratio_656_486,Ridge,0.01723892751809198,0.007461039990255356,0.43280186556994993,True
frequency_hz,Ridge,0.08268546983143168,0.008154011897384043,0.0986148100023786,True
pulse_width_ns,Ridge,0.11201038906850569,0.011361859304976733,0.10143576323110355,True
rise_time_ns,Ridge,0.028754479822410983,0.005699041843519641,0.19819665939767267,True
flow_rate_sccm,Ridge,0.10456318070769507,0.006443559561614028,0.06162359941619325,True
I_309_OH,PLS,0.9647060501072641,0.024380293799097345,0.02527225137272285,True
I_777_O,PLS,0.9757214866838279,0.02048671145601713,0.020996474645285364,True
I_656_Ha,PLS,0.8761376006474482,0.01601732530156067,0.01828174625735066,True
I_486_Hb,PLS,0.9120847190562327,0.03722563515445589,0.04081379106205684,True
I_337_N2,PLS,0.9115738099145432,0.037098620309566385,0.04069733016248487,True
I_406_CO2p,PLS,1.0198551997532408,0.03464793228725089,0.0339733839623842,True
I_516_C2,PLS,0.8117459652462007,0.04742593191976474,0.05842459827364903,True
band_OH_306_312,PLS,0.9811923617775967,0.0262245831583272,0.02672725979115544,True
band_CO2p_398_412,PLS,1.137614511207273,0.029175833096410062,0.025646502228112166,True
band_CO_Hb_460_500,PLS,1.046864570950691,0.04291266267352224,0.040991608527311124,True
ratio_309_656,PLS,0.9227162440411781,0.07928917846584513,0.08593018598934157,True
ratio_777_309,PLS,0.5718257545254791,0.0649574258157893,0.11359653758458856,True
ratio_656_486,PLS,0.8891649205053783,0.026710243520300735,0.03003969556639653,True
frequency_hz,PLS,0.9914697996875816,0.05402469471057386,0.054489501069621464,True
pulse_width_ns,PLS,1.2240893484344624,0.10141732861236524,0.08285124671828244,True
rise_time_ns,PLS,0.8852786509162284,0.0755590405441066,0.08535057347865102,True
flow_rate_sccm,PLS,1.5339049906364512,0.0834901180485626,0.05442978447701686,True
I_309_OH,RF,0.020533650029744457,0.014326631611405368,0.6977148042677371,True
I_777_O,RF,0.014529423134013198,0.012398193835153818,0.8533163168832079,True
I_656_Ha,RF,0.02869121666241777,0.008991328676760755,0.3133826209795548,True
I_486_Hb,RF,0.05150670900738976,0.012349266995142768,0.2397603580801677,True
I_337_N2,RF,0.0038031457435570423,0.0012575216496492488,0.3306530263216003,True
I_406_CO2p,RF,0.01862759807387776,0.014698070933720038,0.7890481035411506,True
I_516_C2,RF,0.006444887656816137,0.003038870953647756,0.4715165128493489,True
band_OH_306_312,RF,0.015409299894089795,0.005542702211708051,0.35969850997798697,True
band_CO2p_398_412,RF,0.12311980908931615,0.020658802001931518,0.16779429853521602,True
band_CO_Hb_460_500,RF,0.0747890737478101,0.01828206008420369,0.24444827523671536,True
ratio_309_656,RF,0.021952275174416426,0.011572327567987546,0.5271584597059964,True
ratio_777_309,RF,0.0037776529400213705,0.0019726684967005127,0.5221942110672965,True
ratio_656_486,RF,0.024586249205905235,0.009572262281988294,0.38933398103234,True
frequency_hz,RF,0.000787949157694064,0.0006556128996452711,0.8320497499660062,True
pulse_width_ns,RF,0.0035193528682071333,0.001956139431205935,0.5558236143005612,True
rise_time_ns,RF,0.004478256509678242,0.0023044116681132927,0.5145778637586041,True
flow_rate_sccm,RF,0.05471910074916579,0.03998508895529297,0.7307336635261236,True
I_309_OH,MLP,0.0014298967278167842,0.0034559656346352338,2.4169337319289634,False
I_777_O,MLP,0.001885079715332622,0.0028738551770382727,1.5245271346687754,False
I_656_Ha,MLP,0.0037332708416276,0.008149209355649922,2.182860473122571,False
I_486_Hb,MLP,0.027855516609669208,0.021641620499071708,0.7769240399425752,True
I_337_N2,MLP,0.015452617709780464,0.014248209567367599,0.9220579862238774,True
I_406_CO2p,MLP,0.009944590177170823,0.01035240413556577,1.0410086238979601,False
I_516_C2,MLP,0.014811940912309588,0.01265280397017757,0.8542299787101061,True
band_OH_306_312,MLP,0.0021664291645003535,0.0064916845288687745,2.996490554707779,False
band_CO2p_398_412,MLP,0.007779375725887136,0.009592489253281853,1.233066712713372,False
band_CO_Hb_460_500,MLP,0.02362826854381442,0.021419491589676466,0.9065197286867562,True
ratio_309_656,MLP,0.01522108753902909,0.015575210595420528,1.0232652926726435,False
ratio_777_309,MLP,0.004748863531268346,0.010349790319026789,2.1794246667396915,False
ratio_656_486,MLP,0.002355597863335113,0.005469013450638337,2.321709293323596,False
frequency_hz,MLP,0.016555402509730924,0.034813318727904004,2.102837349163903,False
pulse_width_ns,MLP,0.030760485687957383,0.05935950988882647,1.9297325305908775,False
rise_time_ns,MLP,0.020069070303615714,0.027463763121499913,1.3684621512612842,False
flow_rate_sccm,MLP,0.06232106664343708,0.0936608237956337,1.5028758145540655,False
