I_309_OH,I_777_O,I_656_Ha,I_486_Hb,I_337_N2,I_406_CO2p,I_516_C2,band_OH_306_312,band_CO2p_398_412,band_CO_Hb_460_500,ratio_309_656,ratio_777_309,ratio_656_486,frequency_hz,pulse_width_ns,rise_time_ns,flow_rate_sccm
0.0,0.0012300732359174999,0.011943421841167532,0.007098390812318291,0.009119250224051585,0.0,0.0,0.028539266052102878,0.0,0.0,0.0,0.003692716318126288,0.022264829659384137,0.003909034649444904,0.0,0.010481610568715986,-0.03801784653711513
0.002283749101789967,0.008472429314123177,0.03526799499944322,0.08021957647140732,0.018154672062163854,0.0,0.0,0.0,0.0,0.02103604199377534,-0.02843806850514895,0.0,0.0,0.0,-0.009393795530541009,-0.01373801416188513,-0.030599519598277142
0.0,0.008279100886859524,0.0,0.006455942841427925,0.011585327159218317,0.015608399870952272,0.033450769054756344,0.0,0.03521244403544132,0.04599263847502589,0.0,0.0,0.0,0.0,-0.012350004340762999,-0.04945882000312168,-0.039822513026027025
0.0,0.0,0.0,-0.008112106388828979,0.020543448341416894,0.006908206379705073,0.04967052133420667,0.0,0.0092972043466879,0.009403465836131296,0.0,0.0,0.0,0.008685856875062518,-0.010290628560093825,-0.09055920158850657,-0.03682912785105227
0.0,0.0,0.0,0.016605394402996968,-0.012628968247090285,0.007018373078806012,-0.010304595359297522,0.00993000947915283,0.0,-0.006719099134378633,0.0,0.0,0.0,0.008473704933681383,-0.006589112562923968,-0.10117827941821124,-0.027543059514521948
-0.011090684132643294,0.0,-0.010176585264132922,-0.07099379839678206,-0.011944013145087216,-0.011082957082678214,-0.016813350070840966,0.0,0.0,-0.05935454260733572,-0.04183731492869665,0.0,0.0,0.0,-0.08360979075109222,0.0,-0.009296517135492621
0.003388613103338234,0.0,0.0,0.023184495040809473,0.007372961760706201,0.0,0.0,0.0,0.0,0.06016101817564745,-0.03429272131437791,0.011843616269885934,0.012529996426945543,0.0,-0.10074663273671651,0.011689821969868978,-0.03068113090299812
0.0,0.007040006200464033,0.0,0.04099571391440145,0.0,0.03547231903598445,-0.007601511322123039,0.0,0.007250128308952266,0.04246821868662599,0.0,0.0,0.0,0.005424639853095232,-0.007672509166331082,0.0176079597322719,-0.0368654565690709
0.0,0.0,-0.004278074913554017,0.034264229814376185,-0.016043315606452557,0.011884850290950358,-0.018949381409114695,0.0,0.0,-0.007840340268808161,-0.023672334625007174,0.0,0.0,0.0,0.08524733071173997,0.012192968198591001,-0.03665254667901369
0.0,0.0,0.0,-0.03450060765307791,0.02271948041422098,0.015437822881239403,-0.03383502296065379,0.0,0.007578678281742718,0.02861829838382853,0.013934516854172326,-0.02114079533036769,0.0,0.0,0.25317578026771703,0.0,-0.037561257201861306
0.0,0.0,0.0,-0.049483847349001006,-0.03549554822762956,-0.026592507256383357,-0.010210492724134712,0.0,-0.026447862178395207,-0.06905163018599976,-0.022511359969715185,-0.04287140255855542,0.0,-0.1579879776445315,0.0,0.0,-0.03139188061380492
0.0,-0.0014838398393905439,0.0,-0.04101083284680078,-0.018874115062655565,-0.025158345901756682,-0.01582889185037302,0.0,-0.022314885063585168,-0.04416355070603388,0.0,0.0,0.0,-0.035055809240519785,-0.009289605566636442,0.0,-0.02172135921408045
0.0,0.0,0.0,-0.026089650295285222,-0.008988674947455703,0.0,-0.012596691473946845,0.0,-0.004064952587703452,-0.015246027122953334,0.0,0.011931981587385163,0.0,-0.031160399517476966,-0.00937640621546534,0.012640807776337028,-0.033657308923809595
0.0,0.0,0.0,0.008027055008125736,0.06614276436399663,0.004305785317318604,0.01841496241910312,0.0,0.008650874136139252,0.0,0.030532061306634026,0.0034967585610464202,0.0027766163074095444,0.009120645876687618,0.0,0.01930517193121231,0.0
-0.01183488821856419,-0.0029830609571950633,-0.0038439723510248322,0.01776803002259912,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017630257952814933,0.0,-0.006042111984060231,0.04529831473756481,-0.012285551658903177,0.011701923192793812,-0.036112988235760375
0.0,-0.003998750248982289,0.0,-0.0429184817683227,-0.011079026902325132,-0.023114063785195232,-0.010287993319802558,0.0,-0.005733011543693156,-0.017870922666066283,0.04107101474576304,0.0,0.0,0.0,-0.00795399546257262,0.0,-0.049772736490763386
0.0,0.0,0.009155367463229461,0.03556693745110953,0.0,-0.010194146124124219,-0.01235475080945285,0.0,-0.004981726472187663,-0.006502640968670523,-0.012774991576498085,0.0,0.0,0.0,-0.007228570227651589,0.011351881824281018,-0.0337283070950953
0.0,0.004214333623720303,0.0,0.0,0.014872683304752842,0.004562281636929538,0.016242496562227017,0.004859307758751361,0.013505003381527762,0.013819255618411531,0.0,0.0,0.0,0.009529652899116047,0.0,0.01776278379000007,0.08756598867006303
0.0,0.0,0.0,0.00635942451741773,0.01649815952732792,0.0015517449013930373,0.02574308445692163,0.0,0.009135526023578077,0.015677233527696073,0.01523286088663019,0.0,0.0,0.006294885548137753,0.0,0.013392418936519304,0.19356431358701734
0.0,0.0,0.0,0.007455817198295688,0.006989944899058067,0.0,0.003934303119236927,0.0,0.0014152181581087442,0.008640446518900065,0.03836148027265678,0.0,0.003498402888902805,0.010167128419299929,0.0,0.00831974297999814,0.43503747502291723
